continent,run_red_light_rate(%),risky_crossing_rate(%)
Oceania,20.087336244541483,75.10917030567686
North America,9.014084507042254,70.14084507042253
Asia,13.244047619047619,91.51785714285714
Europe,16.363636363636363,82.72727272727273
