environment_factor,risky_crossing_rate(%),run_red_light_rate(%)
police_car,20.0,0.0
arrow_board,11.11111111111111,11.11111111111111
cones,20.0,10.0
crack,36.36363636363637,4.545454545454546
potholes,44.44444444444444,11.11111111111111
