accessory,risky_crossing_rate(%),run_red_light_rate(%)
backpack,78.94736842105263,5.263157894736842
umbrella,83.33333333333334,16.666666666666664
handbag,66.66666666666666,5.555555555555555
suitcase,89.1891891891892,18.91891891891892
