city,link,video_name,duration_seconds,total_frames,total_pedestrians,total_crossed_pedestrians,measured_avg_walking_speed_mps,measured_crossing_speed_mps,measured_crossing_speed_n,pipeline_version,average_age,phone_usage_ratio,risky_crossing_ratio,run_red_light_ratio,crosswalk_usage_ratio,traffic_signs_ratio,total_vehicles,top3_vehicles,main_weather,sidewalk_prob,crosswalk_prob,traffic_light_prob,avg_road_width,Crack_prob,Potholes_prob,police_car_prob,Arrow Board_prob,cones_prob,accident_prob,pet_severe_conflicts,pet_moderate_conflicts,pet_queued_interactions,pet_min_s,vehicle_median_speed_mps,vehicle_p85_speed_mps,mean_headway_s,platoon_frac,vehicle_flow_per_min,anticipatory_start_frac,mean_red_exposure_s,hesitation_rate,aborted_start_rate,evasive_event_count,n_social_groups,grouped_pedestrians,look_before_cross_frac,looked_both_ways_frac,median_cadence_hz,cadence_n,top_vehicle1,top_vehicle2,top_vehicle3,crossing_time,crossing_speed,data_collected_date,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini
Los Angeles,4uhMg5na888,Los Angeles_4uhMg5na888,,0,554,40,1.066,1.459,15,dense_v2,34,0.0037174721189591076,0.675,0.15,0.0,0.22309124767225325,361,"['car', 'bus', 'truck']",rain,0.912816691505216,0.0,0.315828677839851,1.9559649776453054,0.0532724032807853,0.0029802743094145623,0.0,0.0022346368715083797,0.0007448789571694599,0.0,72,32,16,0.0,1.322,6.504,4.254,0.396,80.51,0.286,1.777,0.004,0.0,1,15,33,0.632,0.0,1.868,6,car,bus,truck,,,2026-07-25,CA,United States,USA,North America,34.0536909,-118.242766,1566.296,3898747.0,329484123.0,12.7,86.0,170.1,38.5,41.3
Manila,JY-Xyiept88,Manila_JY-Xyiept88,,0,3438,358,0.952,1.371,53,dense_v2,30,0.008434864104967198,0.9134078212290503,0.15363128491620112,0.0,0.1530675480272671,768,"['car', 'motorbike', 'truck']",shine,0.8241735537190082,0.0022727037943822896,0.14067341458376367,1.856987603305785,0.03987562111961653,0.013223003894587866,0.0004131377814501136,0.004131377814501136,0.004131377814501136,0.0,647,339,350,0.0,1.16,3.919,3.889,0.495,77.49,0.146,2.846,0.006,0.001,6,178,476,0.397,0.009,1.939,29,car,motorbike,truck,4.99,1.3,2026-07-25,,Philippines,PHL,Asia,14.590622,120.97997,162.3,1600000.0,109581085.0,12.0,96.0,159.6,25.4,40.7
Melbourne,81n46krHrQA,Melbourne_81n46krHrQA,,0,306,38,1.117,1.273,6,dense_v2,30,0.008517887563884156,0.8947368421052632,0.2894736842105263,0.0,0.36277173913043476,303,"['car', 'truck', 'bus']",shine,0.9418960244648318,0.0,0.21875,2.345929323819232,0.02377744313228184,0.002377744313228184,0.0,0.009510869565217392,0.0006793478260869565,0.00033967391304347825,32,10,4,0.0,0.539,5.574,3.568,0.5,375.06,0.133,2.081,0.002,0.0,5,18,40,0.333,0.0,1.798,2,car,truck,bus,3.99,0.98,2026-07-25,,Australia,AUS,Oceania,-37.814218,144.963161,318.677,4917750.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Milan,ZByZSqoqzaI,Milan_ZByZSqoqzaI,,0,630,61,0.765,4.188,3,dense_v2,32,0.01600609756097561,0.7213114754098361,0.2459016393442623,0.0,1.2072072072072073,816,"['car', 'truck', 'bus']",shine,0.8326824872334034,0.0,0.3132132132132132,1.3539020726945026,0.14834909083629047,0.02192203164180001,0.0003003003003003003,0.0009009009009009009,0.0003003003003003003,0.0009009009009009009,53,22,32,0.0,1.027,2.766,2.945,0.532,104.88,0.273,2.084,0.005,0.001,0,25,56,0.241,0.0,2.063,3,car,truck,bus,4.79,1.14,2026-07-25,,Italy,ITA,Europe,45.4641943,9.1896346,233.596,1371498.0,59554023.0,5.3,99.0,168.1,48.1,34.8
Monaco,ij6xccYYIuE,Monaco_ij6xccYYIuE,,0,152,35,1.679,,,dense_v2,36,0.022727272727272728,0.9428571428571428,0.02857142857142857,0.0,0.7049092849519744,180,"['car', 'motorbike', 'truck']",sunrise,0.9701014415376401,0.0,0.018676627534685165,1.7625734116390819,0.025625967647215846,0.003203245955901981,0.0005336179295624333,0.015474919957310566,0.006937033084311633,0.0005336179295624333,7,0,0,0.0,0.093,0.676,3.089,0.614,107.41,0.0,1.573,0.005,0.002,2,11,24,0.273,0.0,,,car,motorbike,truck,1.8,2.73,2026-07-25,,Monaco,MCO,Europe,43.738418,7.424616,6.816,32965.0,39244.0,5.5,99.0,180.0,56.2,27.5
Mumbai,hm8yVZF-LHY,Mumbai1_hm8yVZF-LHY,,0,6,3,,,,legacy_1hz,38,0.0,0.6666666666666666,0.0,0.0,0.19047619047619047,1,"['car', 'army vehicle', 'auto rickshaw']",rain,,0.0,0.07142857142857142,8.108378378378378,0.0,0.0,0.023809523809523808,0.0,0.0,0.11904761904761904,,,,,,,,,,1.0,4.0,0.0,0.0,0,,,,,,,car,army vehicle,auto rickshaw,,,2026-07-25,MH,India,IND,Asia,18.938771,72.835335,277.98,12691836.0,1380004385.0,15.6,76.0,160.8,29.5,32.8
Mumbai,mJZldCMZhyA,Mumbai2_mJZldCMZhyA,,0,4,1,,,,legacy_1hz,28,0.0,1.0,0.0,0.0,0.08823529411764706,3,"['car', 'bus', 'ambulance']",rain,,0.0,0.0,5.826875,0.11910669975186104,0.0,0.029411764705882353,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0,1,2,,,,,car,bus,ambulance,,,2026-07-25,MH,India,IND,Asia,18.938771,72.835335,277.98,12691836.0,1380004385.0,15.6,76.0,160.8,29.5,32.8
New York,_Wyg213IZDI,New York__Wyg213IZDI,3113.843902952476,186644,2038,235,0.94,1.253,86,dense_v2,32,0.01006993006993007,0.7319148936170212,0.0851063829787234,0.0,0.2655094824815172,389,"['car', 'truck', 'bus']",shine,0.82508038585209,0.0009644028203424701,0.15750562520090003,1.8673311897106109,0.05304215511883586,0.004179078888150704,0.0003214400514304082,0.01285760205721633,0.008678881388621022,0.0003214400514304082,261,142,181,0.0,0.784,2.623,3.877,0.43,83.43,0.131,1.7,0.005,0.001,4,135,377,0.48,0.02,1.884,48,car,truck,bus,,,2026-07-25,NY,United States,USA,North America,40.7127281,-74.0060152,2163.208,8804190.0,329484123.0,12.7,86.0,170.1,38.5,41.3
NewYork,m_wznfPqd0I,NewYork1_m_wznfPqd0I,,0,6,1,,,,legacy_1hz,32,0.0,1.0,0.0,0.0,0.125,5,"['car', 'truck', 'bus']",rain,,0.07981755986316989,0.0,5.108809523809522,0.06841505131128849,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0,,,,,,,car,truck,bus,,,2026-07-25,,,,,,,,,,,,,,
NewYork,8Tee4dzv0Bs,NewYork3_8Tee4dzv0Bs,,0,47,3,,,,legacy_1hz,34,0.0,1.0,0.0,0.0,0.0821917808219178,13,"['rickshaw', 'bus', 'motorbike']",rain,,0.006872852233676976,0.0273972602739726,14.050344827586208,0.006872852233676976,0.013745704467353952,0.00684931506849315,0.0,0.0,0.0,,,,,,,,,,,1.333,0.064,0.0,0,2,4,,,,,rickshaw,bus,motorbike,,,2026-07-25,,,,,,,,,,,,,,
Paris,UElofxU8Nvo,Paris1_UElofxU8Nvo,,0,149,13,,,,legacy_1hz,30,0.0,1.0,0.15384615384615385,0.0,0.3584474885844749,28,"['bus', 'car', 'rickshaw']",rain,,0.05028954587016154,0.0410958904109589,13.946681922196795,0.16229807985370315,0.0,0.0045662100456621,0.00228310502283105,0.00684931506849315,0.01141552511415525,,,,,,,,,,0.0,4.615,0.007,0.0,0,3,6,,,,,bus,car,rickshaw,4.11,0.9,2026-07-25,,France,FRA,Europe,48.8588897,2.320041022,934.168,2138551.0,67391582.0,5.1,99.0,171.5,42.4,31.5
Paris,obsNhiqsuJ4,Paris2_obsNhiqsuJ4,,0,2,,,,,legacy_1hz,50,0.0,,,,0.14705882352941177,2,"['car', 'truck', 'auto rickshaw']",shine,,0.17857142857142858,0.029411764705882353,7.382068965517242,0.0,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413,,,,,,,,,,,,0.0,0.0,0,,,,,,,car,truck,auto rickshaw,4.11,0.9,2026-07-25,,France,FRA,Europe,48.8588897,2.320041022,934.168,2138551.0,67391582.0,5.1,99.0,171.5,42.4,31.5
Sydney,wMu6Va5PhGY,Sydney_wMu6Va5PhGY,,0,953,114,1.278,1.51,47,dense_v2,36,0.007633587786259542,0.9473684210526315,0.22807017543859648,0.0,0.1975633849193283,372,"['car', 'bus', 'truck']",rain,0.9252551860388541,0.0,0.23674678959499507,2.1510405004939086,0.025024695423114918,0.0016463615409944023,0.0,0.0135001646361541,0.0026341784655910436,0.0,263,159,128,0.0,0.92,3.991,3.937,0.392,64.55,0.4,3.345,0.003,0.0,1,46,110,0.452,0.016,1.957,19,car,bus,truck,4.57,0.98,2026-07-25,,Australia,AUS,Oceania,-33.8698439,151.2082848,398.037,5231147.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Tokyo,pnVAm2YhJLg,Tokyo1_pnVAm2YhJLg,,0,47,6,,,,legacy_1hz,30,0.0,1.0,0.3333333333333333,0.0,0.21354166666666666,8,"['rickshaw', 'bus', 'motorbike']",rain,,0.005211047420531527,0.036458333333333336,14.229424083769636,0.026055237102657634,0.0,0.005208333333333333,0.0,0.015625,0.015625,,,,,,,,,,0.667,10.833,0.043,0.0,0,3,8,,,,,rickshaw,bus,motorbike,4.44,0.76,2026-07-25,,Japan,JPN,Asia,35.682839,139.759455,2080.758,9733276.0,125836021.0,3.6,99.0,165.3,49.5,32.9
Tokyo,GuYrT1OGJyc,Tokyo2_GuYrT1OGJyc,,0,2,1,,,,legacy_1hz,,0.0,1.0,0.0,0.0,0.0,1,"['motorbike', 'army vehicle', 'auto rickshaw']",rain,,0.0,0.043478260869565216,2.771428571428572,0.04504504504504504,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0,,,,,,,motorbike,army vehicle,auto rickshaw,4.44,0.76,2026-07-25,,Japan,JPN,Asia,35.682839,139.759455,2080.758,9733276.0,125836021.0,3.6,99.0,165.3,49.5,32.9
Toronto,3ai7SUaPoHM,Toronto_3ai7SUaPoHM,,0,123,24,0.836,1.387,19,dense_v2,34,0.005434782608695652,0.25,0.0,0.0,0.9833333333333333,24,"['car', 'bicycle', 'ambulance']",cloudy,,0.0,0.9166666666666666,1.649830508474576,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,79,48,103,0.0,0.903,3.118,2.39,0.286,25.1,0.083,0.0,0.0,0.0,3,3,7,,,,,car,bicycle,ambulance,,,2026-07-25,ON,Canada,CAN,North America,43.6534817,-79.3839347,349.201,2600000.0,38005238.0,5.3,99.0,171.7,42.4,31.7
Ulm,Qh1n6VVKgn0,Ulm1_Qh1n6VVKgn0,,0,48,1,,,,legacy_1hz,34,0.0,0.0,0.0,1.0,0.8507462686567164,143,"['car', 'motorbike', 'three wheelers -CNG-']",shine,,0.034841278619621725,0.19154228855721392,18.423892116182575,0.1327286804557018,0.020738856321203408,0.0,0.006633499170812604,0.0,0.0,,,,,,,,,,0.0,130.0,0.0,0.0,0,,,,,,,car,motorbike,three wheelers -CNG-,,,2026-07-25,,Germany,,,,,,,,,,,,
Ulm,ULl8s4qydrk,Ulm2_ULl8s4qydrk,,0,77,,,,,legacy_1hz,36,0.0,,,,0.7803114571746385,139,"['car', 'truck', 'bus']",rain,,0.027809191864884408,0.3720800889877642,18.184746800222594,0.013904595932442204,0.005005654535679193,0.0,0.0016685205784204673,0.0005561735261401557,0.0,,,,,,,,,,,,0.0,0.0,0,,,,,,,car,truck,bus,,,2026-07-25,,Germany,,,,,,,,,,,,
