vehicle_type,risky_crossing_rate(%),run_red_light_rate(%)
bicycle,33.33333333333333,0.0
bus,100.0,5.88235294117647
car,53.48837209302325,4.651162790697675
motorbike,59.57446808510638,8.51063829787234
pickup,100.0,20.0
suv,71.42857142857143,14.285714285714285
truck,100.0,50.0
three wheelers,76.47058823529412,8.823529411764707
