city,link,city_link,track_id,crossed,nearby_count_beginning,nearby_count_whole,risky_crossing,run_red_light,crosswalk_use_or_not,gender,age,phone_using,walking_speed_mps,crossing_speed_mps,decision_delay_s,backpack,umbrella,handbag,suitcase,short_sleeved_shirt,long_sleeved_shirt,short_sleeved_outwear,long_sleeved_outwear,vest,sling,shorts,trousers,skirt,short_sleeved_dress,long_sleeved_dress,vest_dress,sling_dress,weather,daytime,police_car,arrow_board,cones,accident,crack,potholes,avg_vehicle_total,crossing_sign,avg_road_width,crosswalk,sidewalk,ambulance,army vehicle,auto rickshaw,bicycle,bus,car,garbagevan,human hauler,human,hauler,minibus,minivan,motorbike,pickup,policecar,rickshaw,scooter,suv,taxi,three wheelers -CNG-,truck,van,wheelbarrow,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,855,True,3,2,0,0,0,male,34.0,0,1.535,1.436,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,1.25,0,0.935,0,1,0,0,0,1,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,859,True,3,3,0,0,0,male,31.0,0,0.976,0.891,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,1.75,0,1.07,0,1,0,0,0,1,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,895,True,2,3,1,0,0,female,36.0,0,1.096,1.153,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.631578947368421,0,1.2957894736842108,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,912,True,1,3,1,0,0,male,32.0,0,1.398,1.392,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.6875,0,1.355,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,943,True,2,2,1,0,0,male,43.0,0,1.133,1.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.5454545454545454,0,1.3963636363636365,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,1009,True,2,2,1,0,0,female,34.0,0,1.459,1.597,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.5454545454545454,0,1.4172727272727272,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,1064,True,1,1,1,0,0,,,0,1.404,1.711,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,2.25,0,1.3075,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,1411,True,2,2,1,0,0,female,26.0,0,2.267,0.457,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.6,0,0.628,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,1414,True,2,2,1,0,0,,,0,1.245,0.239,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.5,0,0.875,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2099,True,0,0,1,1,0,,,0,1.099,0.374,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,1.5,0,2.0700000000000003,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2233,True,1,1,1,1,0,female,36.0,0,2.711,1.969,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,2.6666666666666665,0,1.88,0,1,0,0,0,0,0,1,0,0,,,0,1,1,1,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2629,True,0,1,0,0,0,female,34.0,0,1.25,1.366,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.0,0,1.14,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
